Source;Target;CriticalPath
T1;T2;4.5
T2;T3;19.8
T3;T4;22.39
T4;T5;27.34
T5;T6;29.37
T6;T7;76.28
T6;T8;38.03
T8;T9;46.02
T9;T10;48.78
T5;T11;33.98
T11;T12;63.01
T12;T13;89.67
T13;T14;99.23
T5;T15;65.82
T8;T16;43.99
T15;T16;71.78
T16;T17;49.51
T9;T18;53.56
T18;T19;55.75
T19;T20;61.04
T19;T21;58
T20;T22;92.43
T22;T23;113.86
T23;T24;121.4
T5;T25;31.28
T10;T25;52.72
T14;T25;103.17
T17;T25;53.45
T20;T25;64.98
T24;T25;125.34
T25;T26;37.92
T26;T27;81.68
T27;T28;144.68
T28;T29;150.81
T29;T30;163.86
T14;T31;104.18
T14;T32;102.44
T31;T33;107.11
T32;T33;105.37
T25;T34;66.94
T30;T34;199.52
T33;T34;142.77
T34;T35;155.03
T35;T36;179.84
T36;T37;185.13
T5;T38;34.2
T38;T39;46.01
T39;T40;51.52
T38;T41;48.09
T41;T42;53.63
T42;T43;57.17
T34;T44;79.29
T37;T44;197.48
T43;T44;69.52
T40;T45;61.53
T43;T45;67.18
T39;T46;51.19
T43;T46;62.35
T45;T47;67.77
T46;T47;57.43
T47;T48;77.61
T48;T49;86.78
T40;T50;72.42
T47;T51;78.54
T49;T52;95.89
T52;T53;103.77
T49;T54;90.94
T50;T54;76.58
T51;T55;87.65
T52;T55;105
T54;T55;100.05
T46;T56;57.1
T53;T57;116.54
T55;T57;100.42
T56;T57;69.87
T44;T58;103.42
T57;T58;140.67
T58;T59;848.17
T59;T60;1124.92
T50;T61;397.55
T60;T62;1280.17
T61;T62;552.8
T62;T63;1285.37
T60;T64;1130.1
T64;T65;1137.75
T65;T66;1142.81
T62;T67;1284.11
T67;T68;1287.88
T66;T69;1189.5
T68;T69;1334.57
T69;T70;1209.19
T68;T71;1294.41
T68;T72;1292.66
T70;T73;1214.25
T73;T74;1224.43
T73;T75;1219.93
T74;T76;1246.09
T75;T76;1241.59
T76;T77;1255.99
T77;T78;1269.38
T78;T79;1271.49
T44;T80;263.79
T80;T81;313.8
T78;T82;1370.86
