Id;Label;Duration
T1;T1;2.25
T2;T2;2.25
T3;T3;15.3
T4;T4;2.59
T5;T5;4.95
T6;T6;2.03
T7;T7;46.91
T8;T8;8.66
T9;T9;7.99
T10;T10;2.76
T11;T11;6.64
T12;T12;29.03
T13;T13;26.66
T14;T14;9.56
T15;T15;38.48
T16;T16;5.96
T17;T17;9.45
T18;T18;7.54
T19;T19;2.19
T20;T20;5.29
T21;T21;2.25
T22;T22;31.39
T23;T23;21.43
T24;T24;7.54
T25;T25;3.94
T26;T26;6.64
T27;T27;43.76
T28;T28;63
T29;T29;6.13
T30;T30;13.05
T31;T31;4.95
T32;T32;3.21
T33;T33;2.93
T34;T34;35.66
T35;T35;88.09
T36;T36;24.81
T37;T37;5.29
T38;T38;6.86
T39;T39;11.81
T40;T40;5.51
T41;T41;13.89
T42;T42;5.54
T43;T43;3.54
T44;T44;12.35
T45;T45;10.01
T46;T46;5.18
T47;T47;6.24
T48;T48;9.84
T49;T49;9.17
T50;T50;20.9
T51;T51;10.77
T52;T52;9.11
T53;T53;7.88
T54;T54;4.16
T55;T55;9.11
T56;T56;5.91
T57;T57;12.77
T58;T58;24.13
T59;T59;744.75
T60;T60;276.75
T61;T61;325.13
T62;T62;155.25
T63;T63;5.2
T64;T64;5.18
T65;T65;7.65
T66;T66;5.06
T67;T67;3.94
T68;T68;3.77
T69;T69;46.69
T70;T70;19.69
T71;T71;6.53
T72;T72;4.78
T73;T73;5.06
T74;T74;10.18
T75;T75;5.68
T76;T76;21.66
T77;T77;9.9
T78;T78;13.39
T79;T79;2.11
T80;T80;184.5
T81;T81;50.01
T82;T82;101.48
